Country,Continent,Gender,Asterisk,WorldRecord,Athlete,Year,cleantime,speed
Afghanistan,Asia,M,,,Masoud Azizi,2005,11.11,9.00090009
Afghanistan,Asia,F,,,Robina Muqimyar,2004,14.14,7.072135785
Albania,Europe,M,,,Arben Makaj,2003,10.56,9.46969697
Albania,Europe,F,,,Klodiana Shala,2005,11.71,8.53970965
Algeria,Africa,M,,,Mustapha Kamel Selmi,1987,10.34,9.671179884
Algeria,Africa,F,,,Souheir Bouali,2007,11.61,8.613264427
American Samoa,Oceania,M,,,Kelsey Nakanelua,2001,10.81,9.250693802
American Samoa,Oceania,F,,,Lila Waetin,2007,13.39,7.468259895
Andorra,Europe,M,Y,,Esteve Martin,2000,10.94,9.140767824
Andorra,Europe,F,,,Cristina Llovera,2015,12.19,8.203445447
Angola,Africa,M,,,Afonso Ferraz,1992,10.45,9.56937799
Angola,Africa,F,,,Antonia Margarete de Jesus,1995,11.69,8.554319932
Anguilla,North America,M,,,Zharnel Hughes,2014,10.1,9.900990099
Anguilla,North America,F,,,Desiree Cocks,1998,11.98,8.347245409
Antigua and Barbuda,North America,M,,,Daniel Bailey,2009,9.91,10.09081736
Antigua and Barbuda,North America,F,,,Heather Samuel,1993,11.2,8.928571429
Argentina,South America,M,Y,,Carlos Gats,1998,10.23,9.775171065
Argentina,South America,F,,,Vanesa Wohlgemuth,2004,11.57,8.643042351
Armenia,Europe,M,,,Arman Andreasyan,2009,10.45,9.56937799
Armenia,Europe,F,,,Gayane Chiloyan,2016,11.54,8.665511265
Aruba,South America,M,,,Geronimo Goeloe,2008,10.27,9.737098345
Aruba,South America,F,,,Luz Geerman,2000,12.68,7.886435331
Australia,Oceania,M,,,Patrick Johnson,2003,9.93,10.07049345
Australia,Oceania,F,,,Melissa Breen,2014,11.11,9.00090009
Austria,Europe,M,,,Andreas Berger,1988,10.15,9.852216749
Austria,Europe,F,,,Karin Mayr-Krifka,2003,11.15,8.968609865
Azerbaijan,Europe,M,,,Ramil Guliyev,2016,10.07,9.930486594
Azerbaijan,Europe,F,,,Valeriya Balyanina,2015,11.87,8.424599832
Bahamas,North America,M,,,Derrick Atkins,2007,9.91,10.09081736
Bahamas,North America,F,,,Chandra Sturrup,2005,10.84,9.225092251
Bahrain,Asia,M,,,Kemarley Brown,2014,9.93,10.07049345
Bahrain,Asia,F,,,Rakia Al-Gasara,2008,11.12,8.992805755
Bangladesh,Asia,M,,,Mohd Mahbub Alam,1999,10.54,9.487666034
Bangladesh,Asia,F,,,Shamsun Nahar Chumki,2010,12.16,8.223684211
Barbados,North America,M,,,Obadele Thompson,1998,9.87,10.13171226
